time,precip
"03Jan1970, 00:00",0.3
"03Jan1970, 00:15",0.3
"03Jan1970, 00:30",0.3
"03Jan1970, 00:45",0.3
"03Jan1970, 01:00",0.3
"03Jan1970, 01:15",0.3
"03Jan1970, 01:30",0.3
"03Jan1970, 01:45",0.3
"03Jan1970, 02:00",0.3
"03Jan1970, 02:15",0.3
"03Jan1970, 02:30",0.3
"03Jan1970, 02:45",0.3
"03Jan1970, 03:00",0.3
"03Jan1970, 03:15",0.3
"03Jan1970, 03:30",0.3
"03Jan1970, 03:45",0.3
"03Jan1970, 04:00",0.3
"03Jan1970, 04:15",0.3
"03Jan1970, 04:30",0.3
"03Jan1970, 04:45",0.3
"03Jan1970, 05:00",0.3
"03Jan1970, 05:15",0.3
"03Jan1970, 05:30",0.3
"03Jan1970, 05:45",0.3
"03Jan1970, 06:00",0.3
"03Jan1970, 06:15",0.3
"03Jan1970, 06:30",0.3
"03Jan1970, 06:45",0.3
"03Jan1970, 07:00",0.3
"03Jan1970, 07:15",0.3
"03Jan1970, 07:30",0.3
"03Jan1970, 07:45",0.3
"03Jan1970, 08:00",0.3
"03Jan1970, 08:15",0.3
"03Jan1970, 08:30",0.3
"03Jan1970, 08:45",0.3
"03Jan1970, 09:00",0.3
"03Jan1970, 09:15",0.3
"03Jan1970, 09:30",0.3
"03Jan1970, 09:45",0.3
"03Jan1970, 10:00",0.3
"03Jan1970, 10:15",0.3
"03Jan1970, 10:30",0.3
"03Jan1970, 10:45",0.3
"03Jan1970, 11:00",0.3
"03Jan1970, 11:15",0.3
"03Jan1970, 11:30",0.3
"03Jan1970, 11:45",0.3
"03Jan1970, 12:00",0.3
"03Jan1970, 12:15",0.3
"03Jan1970, 12:30",0.3
"03Jan1970, 12:45",0.3
"03Jan1970, 13:00",0.3
"03Jan1970, 13:15",0.3
"03Jan1970, 13:30",0.3
"03Jan1970, 13:45",0.3
"03Jan1970, 14:00",0.3
"03Jan1970, 14:15",0.3
"03Jan1970, 14:30",0.3
"03Jan1970, 14:45",0.3
"03Jan1970, 15:00",0.3
"03Jan1970, 15:15",0.3
"03Jan1970, 15:30",0.3
"03Jan1970, 15:45",0.3
"03Jan1970, 16:00",0.3
"03Jan1970, 16:15",0.3
"03Jan1970, 16:30",0.3
"03Jan1970, 16:45",0.3
"03Jan1970, 17:00",0.3
"03Jan1970, 17:15",0.3
"03Jan1970, 17:30",0.3
"03Jan1970, 17:45",0.3
"03Jan1970, 18:00",0.3
"03Jan1970, 18:15",0.3
"03Jan1970, 18:30",0.3
"03Jan1970, 18:45",0.3
"03Jan1970, 19:00",0.3
"03Jan1970, 19:15",0.3
"03Jan1970, 19:30",0.3
"03Jan1970, 19:45",0.3
"03Jan1970, 20:00",0.3
"03Jan1970, 20:15",0.3
"03Jan1970, 20:30",0.3
"03Jan1970, 20:45",0.3
"03Jan1970, 21:00",0.3
"03Jan1970, 21:15",0.3
"03Jan1970, 21:30",0.3
"03Jan1970, 21:45",0.3
"03Jan1970, 22:00",0.3
"03Jan1970, 22:15",0.3
"03Jan1970, 22:30",0.3
"03Jan1970, 22:45",0.3
"03Jan1970, 23:00",0.3
"03Jan1970, 23:15",0.3
"03Jan1970, 23:30",0.3
"03Jan1970, 23:45",0.3
"04Jan1970, 00:00",0.3
"04Jan1970, 00:15",0.3
"04Jan1970, 00:30",0.3
"04Jan1970, 00:45",0.3
"04Jan1970, 01:00",0.3
"04Jan1970, 01:15",0.3
"04Jan1970, 01:30",0.3
"04Jan1970, 01:45",0.3
"04Jan1970, 02:00",0.3
"04Jan1970, 02:15",0.3
"04Jan1970, 02:30",0.3
"04Jan1970, 02:45",0.3
"04Jan1970, 03:00",0.3
"04Jan1970, 03:15",0.3
"04Jan1970, 03:30",0.3
"04Jan1970, 03:45",0.3
"04Jan1970, 04:00",0.3
"04Jan1970, 04:15",0.3
"04Jan1970, 04:30",0.3
"04Jan1970, 04:45",0.3
"04Jan1970, 05:00",0.3
"04Jan1970, 05:15",0.3
"04Jan1970, 05:30",0.3
"04Jan1970, 05:45",0.3
"04Jan1970, 06:00",0.3
"04Jan1970, 06:15",0.3
"04Jan1970, 06:30",0.3
"04Jan1970, 06:45",0.3
"04Jan1970, 07:00",0.3
"04Jan1970, 07:15",0.3
"04Jan1970, 07:30",0.3
"04Jan1970, 07:45",0.3
"04Jan1970, 08:00",0.3
"04Jan1970, 08:15",0.3
"04Jan1970, 08:30",0.3
"04Jan1970, 08:45",0.3
"04Jan1970, 09:00",0.3
"04Jan1970, 09:15",0.3
"04Jan1970, 09:30",0.3
"04Jan1970, 09:45",0.3
"04Jan1970, 10:00",0.3
"04Jan1970, 10:15",0.3
"04Jan1970, 10:30",0.3
"04Jan1970, 10:45",0.3
"04Jan1970, 11:00",0.3
"04Jan1970, 11:15",0.3
"04Jan1970, 11:30",0.3
"04Jan1970, 11:45",0.3
"04Jan1970, 12:00",0.3
"04Jan1970, 12:15",0.3
"04Jan1970, 12:30",0.3
"04Jan1970, 12:45",0.3
"04Jan1970, 13:00",0.3
"04Jan1970, 13:15",0.3
"04Jan1970, 13:30",0.3
"04Jan1970, 13:45",0.3
"04Jan1970, 14:00",0.3
"04Jan1970, 14:15",0.3
"04Jan1970, 14:30",0.3
"04Jan1970, 14:45",0.3
"04Jan1970, 15:00",0.3
"04Jan1970, 15:15",0.3
"04Jan1970, 15:30",0.3
"04Jan1970, 15:45",0.3
"04Jan1970, 16:00",0.3
"04Jan1970, 16:15",0.3
"04Jan1970, 16:30",0.3
"04Jan1970, 16:45",0.3
